DLS,EN_NPi2100,tm23ts23,0.5,region,GCAM Region,Population,year,e_cool_CC,e_cool_noCC,e_cool_delta,Percentage change
DLS,EN_NPi2100,tm23ts23,0.5,EEU,Europe_Eastern,31.654,2090,0.204133761,0.054170958,0.15,2.77
DLS,EN_NPi2100,tm23ts23,0.5,EEU,Europe_Eastern,29.468,2100,0.197925934,0.046547987,0.1514,3.25
DLS,EN_NPi2100,tm23ts23,0.5,FSU,,247.336,2030,0.190227384,0.134693969,0.0555,0.41
DLS,EN_NPi2100,tm23ts23,0.5,FSU,,252.982,2040,0.268343705,0.168324778,0.1,0.59
DLS,EN_NPi2100,tm23ts23,0.5,FSU,,258.39,2050,0.323615363,0.180561107,0.1431,0.79
DLS,EN_NPi2100,tm23ts23,0.5,FSU,,260.24,2060,0.372541974,0.184777469,0.1878,1.02
DLS,EN_NPi2100,tm23ts23,0.5,FSU,,259.783,2070,0.411927571,0.182699888,0.2292,1.25
DLS,EN_NPi2100,tm23ts23,0.5,FSU,,258.931,2080,0.44124712,0.175808722,0.2654,1.51
,,,,FSU,,257.954,2090,0.460725406,0.165468422,0.2953,1.78
,,,,FSU,,255.797,2100,0.474091589,0.154292561,0.3198,2.07
,,,,FSU,Central Asia,105.689,2030,0.081285951,0.057556,0.0237,0.41
,,,,FSU,Central Asia,115.668,2040,0.122691653,0.076961169,0.0457,0.59
,,,,FSU,Central Asia,125.036,2050,0.156598826,0.087374273,0.0692,0.79
,,,,FSU,Central Asia,132,2060,0.188962268,0.093723586,0.0952,1.02
,,,,FSU,Central Asia,137.038,2070,0.217295707,0.096375926,0.1209,1.25
,,,,FSU,Central Asia,140.711,2080,0.239787138,0.09553982,0.1442,1.51
,,,,FSU,Central Asia,143.028,2090,0.255458854,0.091747433,0.1637,1.78
,,,,FSU,Central Asia,143.593,2100,0.266133823,0.086612946,0.1795,2.07
,,,,FSU,Russia,141.647,2030,0.108941433,0.077137969,0.0318,0.41
,,,,FSU,Russia,137.314,2040,0.145652052,0.091363609,0.0543,0.59
,,,,FSU,Russia,133.354,2050,0.167016538,0.093186833,0.0738,0.79
,,,,FSU,Russia,128.24,2060,0.183579706,0.091053884,0.0925,1.02
,,,,FSU,Russia,122.745,2070,0.194631865,0.086323962,0.1083,1.25
,,,,FSU,Russia,118.22,2080,0.201459982,0.080268902,0.1212,1.51
,,,,FSU,Russia,114.926,2090,0.205266551,0.073720988,0.1315,1.78
,,,,FSU,Russia,112.204,2100,0.207957766,0.067679615,0.1403,2.07
,,,,LAM,,565.578,2030,2.29281,1.83126,0.4615,0.25
,,,,LAM,,592.067,2040,4.00003,2.91415,1.0859,0.37
,,,,LAM,,605.339,2050,5.37555,3.57817,1.7974,0.5
,,,,LAM,,606.473,2060,6.46414,3.937,2.5271,0.64
,,,,LAM,,596.775,2070,7.14232,3.98277,3.1596,0.79
,,,,LAM,,577.983,2080,7.48943,3.83527,3.6542,0.95
,,,,LAM,,553.884,2090,7.6223,3.58728,4.035,1.12
,,,,LAM,,732.342,2100,7.67612,3.32339,4.3527,1.31
,,,,LAM,Argentina,47.55,2030,0.192763675,0.153959886,0.0388,0.25
,,,,LAM,Argentina,49.913,2040,0.337214483,0.24567188,0.0915,0.37
,,,,LAM,Argentina,51.564,2050,0.457899855,0.304795448,0.1531,0.5
,,,,LAM,Argentina,52.257,2060,0.556985441,0.339232961,0.2178,0.64
,,,,LAM,Argentina,52.06,2070,0.623064681,0.347439299,0.2756,0.79
,,,,LAM,Argentina,51.102,2080,0.662173569,0.339092961,0.3231,0.95
,,,,LAM,Argentina,49.553,2090,0.68192628,0.320934321,0.361,1.12
,,,,LAM,Argentina,47.661,2100,0.499563781,0.216286844,0.2833,1.31
,,,,LAM,Brazil,223.459,2030,0.905883869,0.723527279,0.1824,0.25
,,,,LAM,Brazil,229.961,2040,1.553626903,1.131868475,0.4218,0.37
,,,,LAM,Brazil,230.972,2050,2.05108303,1.365278378,0.6858,0.5
,,,,LAM,Brazil,227.276,2060,2.422439543,1.475391056,0.947,0.64
,,,,LAM,Brazil,219.498,2070,2.62699676,1.464891112,1.1621,0.79
,,,,LAM,Brazil,208.533,2080,2.702145531,1.383743737,1.3184,0.95
,,,,LAM,Brazil,196.595,2090,2.705452688,1.273264642,1.4322,1.12
,,,,LAM,Brazil,185.102,2100,1.940166068,0.839997636,1.1002,1.31
,,,,LAM,Central America and Caribbean,99.056,2030,0.401564638,0.320728716,0.0808,0.25
,,,,LAM,Central America and Caribbean,106.281,2040,0.718039237,0.523115282,0.1949,0.37
,,,,LAM,Central America and Caribbean,111.297,2050,0.988342258,0.657877958,0.3305,0.5
,,,,LAM,Central America and Caribbean,113.916,2060,1.214182857,0.7395002,0.4747,0.64
,,,,LAM,Central America and Caribbean,114.276,2070,1.367678438,0.762657959,0.605,0.79
,,,,LAM,Central America and Caribbean,112.607,2080,1.459147961,0.747216177,0.7119,0.95
,,,,LAM,Central America and Caribbean,109.253,2090,1.503491048,0.707586571,0.7959,1.12
,,,,LAM,Central America and Caribbean,104.855,2100,1.099048703,0.475834686,0.6232,1.31
,,,,LAM,Colombia,53.985,2030,0.21885062,0.174795466,0.0441,0.25
,,,,LAM,Colombia,56.228,2040,0.379878908,0.276754322,0.1031,0.37
,,,,LAM,Colombia,56.986,2050,0.506048428,0.336844958,0.1692,0.5
,,,,LAM,Colombia,56.514,2060,0.602359019,0.366867818,0.2355,0.64
,,,,LAM,Colombia,54.944,2070,0.65758098,0.366686609,0.2909,0.79
,,,,LAM,Colombia,52.316,2080,0.677904435,0.347148592,0.3308,0.95
,,,,LAM,Colombia,49.11,2090,0.675829912,0.318065193,0.3578,1.12
