Year,="Calibration Data: Energy Balance Model.Surface Temperature Anomaly[1]",="Run 1: Energy Balance Model.Surface Temperature Anomaly[1]",="Calibration Data: Emissions.Total CO2 Emissions[1]",="Run 1: Emissions.Total CO2 Emissions[1]",="Calibration Data: Emissions.CO2 emissions from Energy[1]",="Run 1: Emissions.CO2 emissions from Energy[1]",="Calibration Data: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: solar energy.Current Solar Capacity[1]",="Run 1: wind energy.Current Wind Capacity[1]",="Run 1: bio fuel energy.bio fuel production Capacity[1]",="Calibration Data: bio fuel energy.bio fuel production[1]",="Run 1: bio fuel energy.bio fuel production[1]",="Run 1: fossil energy coal.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy gas.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy oil.Fossil Energy and Fuel Capital[1]",="Calibration Data: hydropower energy.Hydropower Energy Capacity[1]",="Run 1: hydropower energy.Hydropower Energy Capacity[1]",="Calibration Data: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: CCS.Storing CO2[1]",="Calibration Data: energy supply.Total Energy Output[1]",="Run 1: energy supply.Total Energy Output[1]",="Calibration Data: fossil energy coal.Secondary Fossil Energy Output[1]",="Run 1: fossil energy coal.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy gas.Secondary Fossil Energy Output[1]",="Run 1: fossil energy gas.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy oil.Secondary Fossil Energy Output[1]",="Run 1: fossil energy oil.Secondary Fossil Energy Output[1]",="Calibration Data: nuclear energy.Nuclear Energy Output[1]",="Run 1: nuclear energy.Nuclear Energy Output[1]",="Calibration Data: bio fuel energy.bio fuel secondary energy output[1]",="Run 1: bio fuel energy.bio fuel secondary energy output[1]",="Calibration Data: hydropower energy.Hydropower Energy Output[1]",="Run 1: hydropower energy.Hydropower Energy Output[1]",="Calibration Data: solar energy.Solar Energy Output[1]",="Run 1: solar energy.Solar Energy Output[1]",="Calibration Data: wind energy.Wind Energy Output[1]",="Run 1: wind energy.Wind Energy Output[1]"
2033,,1.47663252176,,41292.4976012,,34403.9789954,,4527.32893182,2090.17826813,2818.1854871,228.221065176,,213.254815725,3935248229960,5514872033720,10737064262900,,1235.13645729,,736.304312711,0,,76300.2546762,,18502.5744695,,18615.2955251,,19691.4684105,,5522.28234533,,497.564259596,,4750.00659945,,3539.26645603,,5181.79661061
2034,,1.50018594135,,40817.8034459,,33659.4512857,,4686.04158014,2292.78923932,2996.26950036,259.007349803,,239.743860408,3775022035820,5555601968230,10647100030200,,1254.01843652,,805.261431895,0,,76757.5750252,,17747.2600936,,18712.0876018,,19484.1242355,,6039.46073922,,560.436588933,,4822.62167404,,3882.34447232,,5509.23961978
2035,,1.52757887265,,40321.4977804,,32889.3024073,,4834.85295747,2514.55797119,3187.42454113,299.473355286,,274.923975776,3604432351350,5600598215970,10557024485100,,1277.21939816,,884.3805729,0,,77322.4192823,,16936.6806906,,18809.1056869,,19269.604247,,6632.85429675,,643.749603546,,4911.84640728,,4257.86202778,,5860.71632241
2036,,1.55570807937,,39802.3490688,,32125.0915631,,4956.04618579,2749.87649686,3385.21285407,348.256626219,,317.859522386,3432095421480,5646518827400,10468731983100,,1303.29504187,,973.280979437,0,,77999.305869,,16116.555696,,18896.2165022,,19048.6039388,,7299.60734578,,745.483123271,,5012.12640382,,4656.323239,,6224.38962011
2037,,1.58312893906,,39252.3271116,,31381.7582007,,5048.65120512,2995.98119119,3588.69344343,404.164821162,,367.716161772,3265355647160,5688931480130,10375958505800,,1330.92128026,,1070.65550138,0,,78776.9690927,,15323.1614009,,18958.2872057,,18811.9632408,,8029.91626037,,863.693602719,,5118.36957552,,5073.04850237,,6598.52930434
2038,,1.6083298184,,38635.2737604,,30648.3688339,,5109.64315972,3248.46516036,3794.81253353,466.054723601,,423.839553894,3105261617350,5723932857600,10275140055000,,1359.1405926,,1174.97596379,0,,79610.3134095,,14559.5847595,,18982.7911262,,18553.7380451,,8812.31972845,,996.890106279,,5226.89355199,,5500.57569296,,6977.52039892
2039,,1.63169853226,,37958.6436495,,29923.7539519,,5156.15905583,3504.025009,4001.27344349,534.316743025,,486.488904717,2952177445580,5736995719580,10167399083100,,1387.99314858,,1285.58905262,0,,80466.6700444,,13826.9788639,,18947.5991836,,18276.1434011,,9641.91789468,,1145.72666576,,5337.85281526,,5933.31122254,,7357.13999754
2040,,1.653151971,,37196.5450429,,29195.7402164,,5165.54488002,3756.92084993,4203.54656655,606.033714192,,553.76353416,2806122126850,5741911385210,10048039694100,,1416.12468849,,1400.4461536,0,,81309.92769,,13125.4982672,,18865.7696906,,17972.9789138,,10503.346152,,1305.70008092,,5446.03924227,,6361.53582917,,7729.05951394
2041,,1.67228377808,,36400.2477593,,28467.9391466,,5166.37540568,4000.27022463,4394.52620368,681.350449695,,625.164090569,2666946994700,5734936694770,9920383192420,,1443.66388346,,1519.07309268,0,,82114.7727232,,12454.774918,,18735.561059,,17649.9209383,,11393.0481951,,1475.71069023,,5551.94766808,,6773.59555255,,8080.21370194
2042,,1.69025812758,,35622.8291706,,27747.0334434,,5175.83894534,4235.26122079,4575.53866344,760.289742891,,700.201403557,2534424194970,5720127573280,9786655393460,,1470.82545171,,1641.77938787,0,,82904.7813246,,11814.1533268,,18568.8121963,,17312.9962996,,12313.3454091,,1654.52684318,,5656.40384188,,7171.50216313,,8413.04124462
