Year,="Calibration Data: Energy Balance Model.Surface Temperature Anomaly[1]",="Run 1: Energy Balance Model.Surface Temperature Anomaly[1]",="Calibration Data: Emissions.Total CO2 Emissions[1]",="Run 1: Emissions.Total CO2 Emissions[1]",="Calibration Data: Emissions.CO2 emissions from Energy[1]",="Run 1: Emissions.CO2 emissions from Energy[1]",="Calibration Data: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: solar energy.Current Solar Capacity[1]",="Run 1: wind energy.Current Wind Capacity[1]",="Run 1: bio fuel energy.bio fuel production Capacity[1]",="Calibration Data: bio fuel energy.bio fuel production[1]",="Run 1: bio fuel energy.bio fuel production[1]",="Run 1: fossil energy coal.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy gas.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy oil.Fossil Energy and Fuel Capital[1]",="Calibration Data: hydropower energy.Hydropower Energy Capacity[1]",="Run 1: hydropower energy.Hydropower Energy Capacity[1]",="Calibration Data: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: CCS.Storing CO2[1]",="Calibration Data: energy supply.Total Energy Output[1]",="Run 1: energy supply.Total Energy Output[1]",="Calibration Data: fossil energy coal.Secondary Fossil Energy Output[1]",="Run 1: fossil energy coal.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy gas.Secondary Fossil Energy Output[1]",="Run 1: fossil energy gas.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy oil.Secondary Fossil Energy Output[1]",="Run 1: fossil energy oil.Secondary Fossil Energy Output[1]",="Calibration Data: nuclear energy.Nuclear Energy Output[1]",="Run 1: nuclear energy.Nuclear Energy Output[1]",="Calibration Data: bio fuel energy.bio fuel secondary energy output[1]",="Run 1: bio fuel energy.bio fuel secondary energy output[1]",="Calibration Data: hydropower energy.Hydropower Energy Output[1]",="Run 1: hydropower energy.Hydropower Energy Output[1]",="Calibration Data: solar energy.Solar Energy Output[1]",="Run 1: solar energy.Solar Energy Output[1]",="Calibration Data: wind energy.Wind Energy Output[1]",="Run 1: wind energy.Wind Energy Output[1]"
2041,,1.66810376629,,34570.4441702,,26987.2822372,,4793.39310004,4089.09049024,4525.48188253,466.889050594,,432.404640963,2546909871660,5354771771760,9532087494500,,1348.06974254,,2009.80197795,0,,82990.2466391,,11889.35867,,17536.9151925,,17040.5206505,,15073.5148346,,1020.62389559,,5184.31800454,,6923.99353127,,8321.0018601
2042,,1.68544339279,,33683.466578,,26178.4987526,,4786.78569166,4314.95873705,4700.1956823,518.867088926,,481.943043045,2420301158990,5301340161280,9347234730450,,1368.72095428,,2165.69275474,0,,83763.3484157,,11277.5246827,,17265.7578749,,16626.2134488,,16242.6956606,,1138.7188808,,5263.73707719,,7306.45273181,,8642.24805898
2043,,1.70293653833,,32862.4552417,,25383.9762909,,4798.70455834,4532.99971449,4866.36161386,573.615045944,,534.028171815,2299818985400,5244971634520,9160208107400,,1389.16971278,,2325.61594367,0,,84546.1297718,,10693.7082898,,16975.0848792,,16206.4117517,,17442.1195775,,1262.99227086,,5342.37756849,,7675.65813848,,8947.77729577
2044,,1.72132726001,,32150.7237281,,24610.8561945,,4846.94602235,4745.97643697,5026.91328976,631.707909172,,588.659230098,2185189832610,5185583876410,8974446139390,,1409.67776172,,2491.10940305,0,,85367.3285869,,10137.0031349,,16670.7491838,,15782.7495921,,18683.3205229,,1392.9881547,,5421.24607508,,8036.28832073,,9242.98360273
2045,,1.74077750401,,31557.1014236,,23863.691584,,4931.55077059,4956.43032689,5184.16992735,693.260519697,,645.801670069,2076146110460,5125423111390,8792185361720,,1430.37259069,,2663.68704212,0,,86253.231872,,9606.47104436,,16358.0102759,,15357.2605007,,19977.6528159,,1528.2263934,,5500.83288802,,8392.64662973,,9532.13132398
2046,,1.76246198292,,31074.7536651,,23145.7844826,,5046.19412605,5158.61922288,5330.4259814,758.524686215,,705.671606794,1972428451970,5066128015640,8615209758790,,1451.31902432,,2844.82362728,0,,87209.7332266,,9101.15703242,,16042.8113901,,14942.21813,,21336.1772046,,1669.91993481,,5581.38730562,,8735.00995265,,9801.05227636
2047,,1.78527855166,,30689.75885,,22459.0973023,,5178.64454417,5362.14596827,5477.75483812,827.676948695,,768.604667901,1873786816510,5008468373710,8444719746600,,1472.52163415,,3035.68296206,0,,88292.0593247,,8620.1004042,,15731.3487927,,14539.6095972,,22767.6222155,,1818.86698052,,5662.92690884,,9079.6386352,,10071.9457906
2048,,1.80804793052,,30374.2863634,,21802.0862775,,5314.80600332,5569.26507873,5629.1631052,900.394809632,,834.630215257,1779981741820,4952094388830,8280294302940,,1493.809342,,3235.9778354,0,,89504.578128,,8162.34684008,,15423.0892049,,14148.6851934,,24269.8337655,,1975.13901876,,5744.79377637,,9430.35021384,,10350.3401152
2049,,1.82914957309,,30069.908633,,21170.0971304,,5433.98925438,5778.58553227,5783.20321864,975.698293316,,903.522280764,1690783953330,4895538744540,8120051608100,,1514.83492245,,3443.6682596,0,,90812.1838055,,7722.15396475,,15114.0126152,,13766.2901116,,25827.511947,,2138.19968814,,5825.65257164,,9784.78929259,,10633.5736146
2050,,1.84646756819,,29704.0375065,,20556.5828855,,5515.59036944,5986.19253788,5935.87328785,1052.03177971,,974.686007041,1605974656340,4836626604090,7961272850290,,1535.14312729,,3655.21440464,0,,92163.7160504,,7302.48087123,,14798.1125199,,13388.0046504,,27414.1080348,,2306.64241232,,5903.75253092,,10136.3270165,,10914.2880143
