Year,="Calibration Data: Energy Balance Model.Surface Temperature Anomaly[1]",="Run 1: Energy Balance Model.Surface Temperature Anomaly[1]",="Calibration Data: Emissions.Total CO2 Emissions[1]",="Run 1: Emissions.Total CO2 Emissions[1]",="Calibration Data: Emissions.CO2 emissions from Energy[1]",="Run 1: Emissions.CO2 emissions from Energy[1]",="Calibration Data: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: solar energy.Current Solar Capacity[1]",="Run 1: wind energy.Current Wind Capacity[1]",="Run 1: bio fuel energy.bio fuel production Capacity[1]",="Calibration Data: bio fuel energy.bio fuel production[1]",="Run 1: bio fuel energy.bio fuel production[1]",="Run 1: fossil energy coal.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy gas.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy oil.Fossil Energy and Fuel Capital[1]",="Calibration Data: hydropower energy.Hydropower Energy Capacity[1]",="Run 1: hydropower energy.Hydropower Energy Capacity[1]",="Calibration Data: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: CCS.Storing CO2[1]",="Calibration Data: energy supply.Total Energy Output[1]",="Run 1: energy supply.Total Energy Output[1]",="Calibration Data: fossil energy coal.Secondary Fossil Energy Output[1]",="Run 1: fossil energy coal.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy gas.Secondary Fossil Energy Output[1]",="Run 1: fossil energy gas.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy oil.Secondary Fossil Energy Output[1]",="Run 1: fossil energy oil.Secondary Fossil Energy Output[1]",="Calibration Data: nuclear energy.Nuclear Energy Output[1]",="Run 1: nuclear energy.Nuclear Energy Output[1]",="Calibration Data: bio fuel energy.bio fuel secondary energy output[1]",="Run 1: bio fuel energy.bio fuel secondary energy output[1]",="Calibration Data: hydropower energy.Hydropower Energy Output[1]",="Run 1: hydropower energy.Hydropower Energy Output[1]",="Calibration Data: solar energy.Solar Energy Output[1]",="Run 1: solar energy.Solar Energy Output[1]",="Calibration Data: wind energy.Wind Energy Output[1]",="Run 1: wind energy.Wind Energy Output[1]"
2044,,1.72132726002,,32150.7237284,,24610.8561949,,4846.94602233,4745.97643563,5026.91329057,631.70790925,,588.659230173,2185189832690,5185583876430,8974446139410,,1409.67776172,,2491.10940309,0,,85367.3285871,,10137.0031353,,16670.7491839,,15782.7495921,,18683.3205232,,1392.98815488,,5421.2460751,,8036.28831847,,9242.98360422
2045,,1.74077750402,,31557.1014239,,23863.6915843,,4931.55077055,4956.43032555,5184.16992817,693.260519774,,645.801670144,2076146110540,5125423111410,8792185361740,,1430.37259069,,2663.68704217,0,,86253.2318721,,9606.47104471,,16358.010276,,15357.2605007,,19977.6528162,,1528.22639357,,5500.83288803,,8392.64662746,,9532.13132548
2046,,1.76246198293,,31074.7536653,,23145.7844829,,5046.19412598,5158.61922154,5330.42598223,758.52468629,,705.671606868,1972428452040,5066128015660,8615209758800,,1451.31902432,,2844.82362732,0,,87209.7332267,,9101.15703275,,16042.8113901,,14942.21813,,21336.1772049,,1669.91993498,,5581.38730562,,8735.00995038,,9801.05227788
2047,,1.78527855168,,30689.7588502,,22459.0973026,,5178.64454409,5362.14596692,5477.75483895,827.676948769,,768.604667973,1873786816580,5008468373720,8444719746610,,1472.52163415,,3035.68296209,0,,88292.0593247,,8620.10040451,,15731.3487927,,14539.6095972,,22767.6222157,,1818.86698069,,5662.92690884,,9079.63863293,,10071.9457921
2048,,1.80804793053,,30374.2863635,,21802.0862777,,5314.80600324,5569.26507738,5629.16310603,900.394809704,,834.630215328,1779981741890,4952094388830,8280294302940,,1493.809342,,3235.97783543,0,,89504.5781279,,8162.34684037,,15423.0892049,,14148.6851934,,24269.8337657,,1975.13901893,,5744.79377637,,9430.35021155,,10350.3401167
2049,,1.82914957311,,30069.9086331,,21170.0971307,,5433.98925432,5778.58553092,5783.20321947,975.698293386,,903.522280834,1690783953390,4895538744540,8120051608100,,1514.83492245,,3443.66825962,0,,90812.1838054,,7722.15396502,,15114.0126152,,13766.2901115,,25827.5119472,,2138.1996883,,5825.65257164,,9784.78929031,,10633.5736162
2050,,1.84646756821,,29704.0375066,,20556.5828858,,5515.5903694,5986.19253652,5935.87328869,1052.03177978,,974.686007109,1605974656400,4836626604100,7961272850300,,1535.14312729,,3655.21440467,0,,92163.7160503,,7302.48087149,,14798.1125199,,13388.0046504,,27414.108035,,2306.64241248,,5903.75253092,,10136.3270142,,10914.2880159
2051,,1.85987145883,,29223.0203648,,19958.0317646,,5546.94205555,6172.70681004,6065.05658083,1127.42028421,,1046.98081006,1525344857000,4774315502710,7802603914190,,1554.1960761,,3866.77173754,0,,93449.3217686,,6904.33131314,,14473.1663406,,13012.3086851,,29000.7880315,,2477.73626006,,5977.02510904,,10452.1487419,,11151.8172872
2052,,1.87185480751,,28615.742192,,19371.3412583,,5528.84262778,6345.51530866,6182.44056558,1200.06579741,,1118.86438639,1448694411530,4708024401380,7643626006560,,1571.57223563,,4074.95415502,0,,94669.9338571,,6526.68089116,,14138.150737,,12638.780258,,30562.1561626,,2647.90273709,,6043.84920119,,10744.7626935,,11367.6511765
2053,,1.88381048012,,27908.9110635,,18793.2169346,,5472.13827095,6504.38823891,6288.94808686,1269.02007483,,1189.0646998,1375831450860,4636940713930,7482598245610,,1587.2293413,,4277.2624668,0,,95800.6222542,,6168.54261293,,13791.6672417,,12265.5507246,,32079.468501,,2814.06462546,,6104.06226901,,11013.7797631,,11563.4865164
