Year,="Calibration Data: Energy Balance Model.Surface Temperature Anomaly[1]",="Run 1: Energy Balance Model.Surface Temperature Anomaly[1]",="Calibration Data: Emissions.Total CO2 Emissions[1]",="Run 1: Emissions.Total CO2 Emissions[1]",="Calibration Data: Emissions.CO2 emissions from Energy[1]",="Run 1: Emissions.CO2 emissions from Energy[1]",="Calibration Data: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: solar energy.Current Solar Capacity[1]",="Run 1: wind energy.Current Wind Capacity[1]",="Run 1: bio fuel energy.bio fuel production Capacity[1]",="Calibration Data: bio fuel energy.bio fuel production[1]",="Run 1: bio fuel energy.bio fuel production[1]",="Run 1: fossil energy coal.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy gas.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy oil.Fossil Energy and Fuel Capital[1]",="Calibration Data: hydropower energy.Hydropower Energy Capacity[1]",="Run 1: hydropower energy.Hydropower Energy Capacity[1]",="Calibration Data: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: CCS.Storing CO2[1]",="Calibration Data: energy supply.Total Energy Output[1]",="Run 1: energy supply.Total Energy Output[1]",="Calibration Data: fossil energy coal.Secondary Fossil Energy Output[1]",="Run 1: fossil energy coal.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy gas.Secondary Fossil Energy Output[1]",="Run 1: fossil energy gas.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy oil.Secondary Fossil Energy Output[1]",="Run 1: fossil energy oil.Secondary Fossil Energy Output[1]",="Calibration Data: nuclear energy.Nuclear Energy Output[1]",="Run 1: nuclear energy.Nuclear Energy Output[1]",="Calibration Data: bio fuel energy.bio fuel secondary energy output[1]",="Run 1: bio fuel energy.bio fuel secondary energy output[1]",="Calibration Data: hydropower energy.Hydropower Energy Output[1]",="Run 1: hydropower energy.Hydropower Energy Output[1]",="Calibration Data: solar energy.Solar Energy Output[1]",="Run 1: solar energy.Solar Energy Output[1]",="Calibration Data: wind energy.Wind Energy Output[1]",="Run 1: wind energy.Wind Energy Output[1]"
2034,,1.50177049688,,44096.8876111,,37207.9702288,,4409.21748428,1943.77154279,2629.0195547,307.124557608,,290.426099299,4501394518700,5761844058330,10991181791600,,1272.27017559,,441.718767742,0,,77794.0487215,,21234.0248712,,19451.3530799,,20098.879817,,3312.89075806,,678.751684405,,4892.8130124,,3291.35821785,,4833.97728082
2035,,1.52981621388,,44581.113734,,37485.3507484,,4484.41702627,2080.27098003,2741.30838856,314.063809581,,296.221952842,4554120435810,5843133616980,11033937416200,,1274.59607038,,446.382629787,0,,78836.9768172,,21499.5160136,,19691.5481446,,20139.8785934,,3347.86972341,,693.47323978,,4901.75778573,,3522.49059869,,5040.44271803
2036,,1.55906122804,,45088.5569989,,37791.7265496,,4547.50793724,2221.30095955,2853.09016943,321.807408581,,302.828342088,4612491626450,5930213739560,11090440737800,,1277.15643342,,451.626343662,0,,79931.2126762,,21782.7132228,,19933.3732786,,20198.9914137,,3387.19757746,,710.062608433,,4911.6042616,,3761.29447651,,5245.97583707
2037,,1.58820181649,,45546.0641885,,38096.8411693,,4581.45694781,2364.41215122,2962.84505543,330.306962601,,310.403475968,4672887721270,6018277218130,11152882036000,,1279.86574887,,457.386723216,0,,81019.8016221,,22066.1030278,,20159.2506876,,20261.7192756,,3430.40042412,,728.900094221,,4922.02356887,,4003.62243864,,5447.78210528
2038,,1.61585346112,,45877.2986185,,38367.9545352,,4571.49901827,2507.0005858,3068.99019327,339.488099793,,319.113353029,4731291128730,6101979870390,11212600609400,,1282.63768429,,463.572867697,0,,82040.6330282,,22330.2689792,,20350.260084,,20312.2251378,,3476.79650773,,750.382268432,,4932.68369592,,4245.06522426,,5642.95113089
2039,,1.64247579727,,46047.9485948,,38583.7733891,,4516.59039144,2646.31134127,3169.78502531,349.317114056,,328.984840858,4785044751410,6177705330970,11264034284600,,1285.44133902,,470.130621471,0,,82950.0294597,,22562.2808448,,20494.0028478,,20340.4778417,,3525.97966103,,774.581939562,,4943.46580697,,4480.95796667,,5828.2825512
2040,,1.66800880263,,46071.5989168,,38735.3389568,,4427.63240942,2780.10794038,3263.76652114,359.807217544,,339.947131228,4833006851470,6243792568590,11304899309600,,1288.29554738,,477.052758231,0,,83726.538722,,22756.447984,,20585.228334,,20342.5827002,,3577.89568673,,801.341716731,,4954.44233387,,4707.51367361,,6001.08629275
2041,,1.69203552035,,45995.0501861,,38827.5649719,,4325.16896223,2907.53933301,3350.20238383,371.069329773,,351.881129729,4875730428330,6300806010870,11336505459400,,1291.28360365,,484.407809963,0,,84375.9078097,,22915.2798871,,20626.5837353,,20321.3596723,,3633.05857473,,830.385179432,,4965.93360425,,4923.29127509,,6160.01588145
2042,,1.71568269167,,45895.5837239,,38881.5095728,,4235.15330364,3029.92723965,3429.72606105,383.345242701,,364.685749544,4915889867570,6351906087290,11364659347400,,1294.5605429,,492.371319089,0,,84938.0143194,,23051.2549491,,20629.5472758,,20287.6477801,,3692.78489317,,861.478722187,,4978.53584183,,5130.52881995,,6306.23603727
2043,,1.74024832406,,45853.9363859,,38923.9109496,,4180.50561777,3149.8937246,3505.46883108,396.953144418,,378.349390024,4956969673570,6401248786980,11396962605000,,1298.30265103,,501.182148779,0,,85469.9188833,,23180.5599144,,20608.5923526,,20255.2000543,,3758.86611584,,894.603001483,,4992.92699532,,5333.66620899,,6445.50424045
2044,,1.76643075264,,45923.1523389,,38978.9681897,,4173.15891156,3269.63866088,3579.79730752,412.246588235,,393.027950552,5002199511550,6452705485240,11440318290000,,1302.68176639,,511.110071593,0,,86016.0399476,,23318.0488544,,20576.6916242,,20229.7742307,,3833.32553694,,929.831356371,,5009.76790932,,5536.42845311,,6582.17198255
2045,,1.79434507797,,46123.3174217,,39065.8304864,,4211.86103256,3391.48324091,3654.74343459,429.524494495,,408.982527859,5054343160410,6509512347350,11500041674400,,1307.87383263,,522.459194785,0,,86612.4419359,,23476.1249034,,20540.9431735,,20216.8921301,,3918.44396089,,967.581161554,,5029.73521636,,5742.74599144,,6719.9753986
2046,,1.82513031848,,46450.254889,,39196.2035678,,4286.12687163,3517.60470682,3732.19755504,449.146038741,,426.614983004,5115157547960,6573529701170,11579899428600,,1313.99634901,,535.5103389,0,,87300.7881422,,23662.3092625,,20507.1119796,,20233.7606991,,4016.32754175,,1009.30209634,,5053.28078741,,5956.30551433,,6862.39026117
2047,,1.85766066339,,46885.0056753,,39374.012157,,4379.31069303,3650.53621118,3815.3603582,471.418609104,,446.376671929,5185396896340,6645503116640,11681716304000,,1321.10260611,,550.505378713,0,,88104.2967716,,23879.1391012,,20480.3852878,,20282.6108225,,4128.79034035,,1056.06360968,,5080.60956385,,6181.39636973,,7015.30167652
2048,,1.89074248798,,47387.9119843,,39590.5209211,,4476.33287468,3791.30481202,3905.46142258,496.524816437,,468.619040048,5264077082950,6724201683560,11803728308300,,1329.1692699,,567.597562515,0,,89014.4980951,,24121.0467884,,20456.0778972,,20359.3327641,,4256.98171886,,1108.69898799,,5111.63180922,,6419.75765912,,7180.9704702
2049,,1.92274448276,,47889.6411402,,39824.180785,,4559.75627119,3939.07067357,4001.46951245,524.483844475,,493.671486831,5348297156550,6806376315810,11940431061500,,1338.09895837,,586.818078629,0,,89978.359605,,24358.601371,,20423.7466272,,20453.4484705,,4401.13558971,,1167.98671743,,5145.97301818,,6669.96730156,,7357.50050946
2050,,1.95154108011,,48300.6817109,,40043.3523824,,4613.5582777,4091.6148324,4100.97841818,555.119263632,,521.7608509,5433498733570,6887184308650,12083347716100,,1347.7289088,,608.053714793,0,,90945.5971533,,24580.2756795,,20369.0855196,,20549.6255236,,4560.40286095,,1234.46486287,,5183.00724853,,6928.26796072,,7540.46749754
