,Variable,Scenario,Percentile,2040,2070,2100
162,Capacity|Electricity|Solar,HD_D4_20_10_Limit,50,-11.5671004814852,-5.767985745037612,-14.149800469775574
163,Capacity|Electricity|Solar,HD_D4_20_10_Limit,5,-12.780568171363425,-8.568135827897137,-19.880309810284363
164,Capacity|Electricity|Solar,HD_D4_20_10_Limit,95,-9.457187071493928,-2.094136616536823,-5.379891402552851
165,Capacity|Electricity|Wind,HD_D4_20_10_Limit,50,-12.101318564933853,-5.700503824584085,-15.433694838717223
166,Capacity|Electricity|Wind,HD_D4_20_10_Limit,5,-13.346138609696027,-8.892871222023597,-21.056308169376717
167,Capacity|Electricity|Wind,HD_D4_20_10_Limit,95,-10.251877878292238,-2.0924984820853454,-7.240821435717009
168,Capacity|Biomass,HD_D4_20_10_Limit,50,12.231346655569485,24.278530851925204,0.48951899871835125
169,Capacity|Biomass,HD_D4_20_10_Limit,5,8.962998158390308,19.51356657539879,-3.585417417578476
170,Capacity|Biomass,HD_D4_20_10_Limit,95,18.003828697902815,31.10275184051749,6.769955525981883
171,Capacity|Coal,HD_D4_20_10_Limit,50,1.7898984589659865,1.8228137022843598,2.2144009080023133
172,Capacity|Coal,HD_D4_20_10_Limit,5,1.3587337592026423,1.378571144856359,1.3948678132873076
173,Capacity|Coal,HD_D4_20_10_Limit,95,2.6472631673626417,2.6794291098290417,60.14654434209183
174,Capacity|Gas,HD_D4_20_10_Limit,50,3.8799786236293583,31.174276870959243,17.230202887241266
175,Capacity|Gas,HD_D4_20_10_Limit,5,3.313877397967743,24.762152744480595,9.613835592339418
176,Capacity|Gas,HD_D4_20_10_Limit,95,4.978402965897659,42.75401450754917,34.18068979933647
177,Capacity|Oil,HD_D4_20_10_Limit,50,1.689304493560904,27.9326287507991,20.53835420247898
178,Capacity|Oil,HD_D4_20_10_Limit,5,1.4410692091098234,24.611914256285495,14.251914929776412
179,Capacity|Oil,HD_D4_20_10_Limit,95,2.4680260131804728,32.523369931447334,31.40876753015158
180,Capacity|Electricity|Hydro,HD_D4_20_10_Limit,50,-4.577949617624121,2.5093923650781735,-2.8308562969219895
181,Capacity|Electricity|Hydro,HD_D4_20_10_Limit,5,-4.908502314849818,1.4643421208965253,-3.91685985192725
182,Capacity|Electricity|Hydro,HD_D4_20_10_Limit,95,-4.02902614322179,3.7731316016399497,-1.2210407060574053
183,Capacity|Electricity|Nuclear,HD_D4_20_10_Limit,50,2.345462319703865,8.579025784458912,2.1270391690633756
184,Capacity|Electricity|Nuclear,HD_D4_20_10_Limit,5,1.708886910554093,6.585151324702271,0.019422471917473868
185,Capacity|Electricity|Nuclear,HD_D4_20_10_Limit,95,4.743660932978711,10.179349272879074,4.804371436993948
186,Capacity|Geothermal,HD_D4_20_10_Limit,50,,,
187,Capacity|Geothermal,HD_D4_20_10_Limit,5,,,
188,Capacity|Geothermal,HD_D4_20_10_Limit,95,,,
189,Capacity|Electricity|Solar,HD_D4_Limit,50,0.0,8.029211193133493,-0.9609044269868191
190,Capacity|Electricity|Solar,HD_D4_Limit,5,0.0,4.025147217490092,-3.350169231440143
191,Capacity|Electricity|Solar,HD_D4_Limit,95,0.0,11.574491691394627,1.5121940022840659
192,Capacity|Electricity|Wind,HD_D4_Limit,50,0.0,9.370029807614456,-0.8865314024380453
193,Capacity|Electricity|Wind,HD_D4_Limit,5,0.0,5.665165566046785,-3.116014939595063
194,Capacity|Electricity|Wind,HD_D4_Limit,95,0.0,13.245264200848675,1.5988858762079476
195,Capacity|Biomass,HD_D4_Limit,50,0.3644509263444891,21.294204035542073,2.0271623937305527
196,Capacity|Biomass,HD_D4_Limit,5,0.27861834623301,18.726562611827585,-0.3392814275665117
197,Capacity|Biomass,HD_D4_Limit,95,0.45814119961786975,23.8348348720277,4.3770131900951705
198,Capacity|Coal,HD_D4_Limit,50,0.0,-0.0011661337891136164,-0.008866341008826056
199,Capacity|Coal,HD_D4_Limit,5,0.0,-0.006609636204945495,-0.06047914618177269
200,Capacity|Coal,HD_D4_Limit,95,0.0,-8.020086399800747e-05,-0.000662278055521236
