access_scenario,scenario,name_run,q,region,GCAM Region,Population,year,e_cool_CC,e_cool_noCC,e_cool_delta,Percentage change,,%(DERP2 - DERP4)
projected,EN_NPi2100,tm23ts23,0.95,FSU,,258.39,2050,0.323615363,0.180561107,0.14305,79.20%,,55.94%
projected,EN_NPi2100,tm23ts23,0.95,FSU,,260.24,2060,0.372541974,0.184777469,0.18776,101.60%,,68.42%
projected,EN_NPi2100,tm23ts23,0.95,FSU,,259.783,2070,0.411927571,0.182699888,0.22923,125.50%,,81.69%
projected,EN_NPi2100,tm23ts23,0.95,FSU,,258.931,2080,0.44124712,0.175808722,0.26544,151.00%,,95.75%
projected,EN_NPi2100,tm23ts23,0.95,FSU,,257.954,2090,0.460725406,0.165468422,0.29526,178.40%,,110.87%
projected,EN_NPi2100,tm23ts23,0.95,FSU,,255.797,2100,0.474091589,0.154292561,0.3198,207.30%,,126.97%
projected,EN_NPi2100,tm23ts23,0.95,FSU,Central Asia,105.689,2030,0.081285951,0.057556,0.02373,,,-7.32%
projected,EN_NPi2100,tm23ts23,0.95,FSU,Central Asia,115.668,2040,0.122691653,0.076961169,0.04573,,,-14.72%
projected,EN_NPi2100,tm23ts23,0.95,FSU,Central Asia,125.036,2050,0.156598826,0.087374273,0.06922,,,-23.25%
projected,EN_NPi2100,tm23ts23,0.95,FSU,Central Asia,132,2060,0.188962268,0.093723586,0.09524,,,-33.19%
projected,EN_NPi2100,tm23ts23,0.95,FSU,Central Asia,137.038,2070,0.217295707,0.096375926,0.12092,,,-43.86%
projected,EN_NPi2100,tm23ts23,0.95,FSU,Central Asia,140.711,2080,0.239787138,0.09553982,0.14425,,,-55.30%
projected,EN_NPi2100,tm23ts23,0.95,FSU,Central Asia,143.028,2090,0.255458854,0.091747433,0.16371,,,-67.52%
projected,EN_NPi2100,tm23ts23,0.95,FSU,Central Asia,143.593,2100,0.266133823,0.086612946,0.17952,,,-80.36%
projected,EN_NPi2100,tm23ts23,0.95,FSU,Russia,141.647,2030,0.108941433,0.077137969,0.0318,41.23%,,33.99%
projected,EN_NPi2100,tm23ts23,0.95,FSU,Russia,137.314,2040,0.145652052,0.091363609,0.05429,59.42%,,44.65%
projected,EN_NPi2100,tm23ts23,0.95,FSU,Russia,133.354,2050,0.167016538,0.093186833,0.07383,79.23%,,55.96%
projected,EN_NPi2100,tm23ts23,0.95,FSU,Russia,128.24,2060,0.183579706,0.091053884,0.09253,,,-33.17%
projected,EN_NPi2100,tm23ts23,0.95,FSU,Russia,122.745,2070,0.194631865,0.086323962,0.10831,,,-43.85%
projected,EN_NPi2100,tm23ts23,0.95,FSU,Russia,118.22,2080,0.201459982,0.080268902,0.12119,,,-55.30%
projected,EN_NPi2100,tm23ts23,0.95,FSU,Russia,114.926,2090,0.205266551,0.073720988,0.13155,,,-67.55%
projected,EN_NPi2100,tm23ts23,0.95,FSU,Russia,112.204,2100,0.207957766,0.067679615,0.14028,207.27%,,126.98%
projected,EN_NPi2100,tm23ts23,0.95,LAM,,565.578,2030,2.29281,1.83126,0.46155,25.20%,,15.85%
projected,EN_NPi2100,tm23ts23,0.95,LAM,,592.067,2040,4.00003,2.91415,1.08588,37.26%,,21.12%
projected,EN_NPi2100,tm23ts23,0.95,LAM,,605.339,2050,5.37555,3.57817,1.79738,50.23%,,26.72%
projected,EN_NPi2100,tm23ts23,0.95,LAM,,606.473,2060,6.46414,3.937,2.52714,64.19%,,32.75%
projected,EN_NPi2100,tm23ts23,0.95,LAM,,596.775,2070,7.14232,3.98277,3.15955,79.33%,,39.20%
projected,EN_NPi2100,tm23ts23,0.95,LAM,,577.983,2080,7.48943,3.83527,3.65416,95.28%,,46.00%
projected,EN_NPi2100,tm23ts23,0.95,LAM,,553.884,2090,7.6223,3.58728,4.03503,112.48%,,53.34%
projected,EN_NPi2100,tm23ts23,0.95,LAM,,732.342,2100,7.67612,3.32339,4.35273,130.97%,,61.24%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Argentina,47.55,2030,0.192763675,0.153959886,0.0388,,,-9.38%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Argentina,49.913,2040,0.337214483,0.24567188,0.09154,,,-16.16%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Argentina,51.564,2050,0.457899855,0.304795448,0.1531,,,-23.51%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Argentina,52.257,2060,0.556985441,0.339232961,0.21775,,,-31.44%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Argentina,52.06,2070,0.623064681,0.347439299,0.27563,,,-40.14%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Argentina,51.102,2080,0.662173569,0.339092961,0.32308,,,-49.28%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Argentina,49.553,2090,0.68192628,0.320934321,0.36099,,,-59.13%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Argentina,47.661,2100,0.499563781,0.216286844,0.28328,,,-69.74%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Brazil,223.459,2030,0.905883869,0.723527279,0.18236,,,-9.36%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Brazil,229.961,2040,1.553626903,1.131868475,0.42176,,,-16.14%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Brazil,230.972,2050,2.05108303,1.365278378,0.6858,,,-23.52%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Brazil,227.276,2060,2.422439543,1.475391056,0.94705,,,-31.44%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Brazil,219.498,2070,2.62699676,1.464891112,1.16211,,,-40.14%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Brazil,208.533,2080,2.702145531,1.383743737,1.3184,,,-49.28%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Brazil,196.595,2090,2.705452688,1.273264642,1.43219,,,-59.14%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Brazil,185.102,2100,1.940166068,0.839997636,1.10017,,,-69.73%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Central America and Caribbean,99.056,2030,0.401564638,0.320728716,0.08084,,,-9.36%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Central America and Caribbean,106.281,2040,0.718039237,0.523115282,0.19492,,,-16.14%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Central America and Caribbean,111.297,2050,0.988342258,0.657877958,0.33046,,,-23.51%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Central America and Caribbean,113.916,2060,1.214182857,0.7395002,0.47468,,,-31.44%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Central America and Caribbean,114.276,2070,1.367678438,0.762657959,0.60502,,,-40.13%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Central America and Caribbean,112.607,2080,1.459147961,0.747216177,0.71193,,,-49.28%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Central America and Caribbean,109.253,2090,1.503491048,0.707586571,0.7959,,,-59.14%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Central America and Caribbean,104.855,2100,1.099048703,0.475834686,0.62321,,,-69.72%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Colombia,53.985,2030,0.21885062,0.174795466,0.04406,,,-9.34%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Colombia,56.228,2040,0.379878908,0.276754322,0.10312,,,-16.13%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Colombia,56.986,2050,0.506048428,0.336844958,0.1692,,,-23.51%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Colombia,56.514,2060,0.602359019,0.366867818,0.23549,,,-31.44%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Colombia,54.944,2070,0.65758098,0.366686609,0.29089,,,-40.13%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Colombia,52.316,2080,0.677904435,0.347148592,0.33076,,,-49.28%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Colombia,49.11,2090,0.675829912,0.318065193,0.35776,,,-59.13%
projected,EN_NPi2100,tm23ts23,0.95,LAM,Colombia,45.985,2100,0.481996611,0.208681112,0.27332,,,-69.73%
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Northern,33.727,2030,0.136726403,0.109203051,0.02752,,,-9.34%
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Northern,36.39,2040,0.245852484,0.179111649,0.06674,,,-16.12%
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Northern,38.013,2050,0.337563944,0.224695318,0.11287,,,-23.50%
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Northern,39.029,2060,0.415993739,0.253361717,0.16263,,,-31.44%
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Northern,39.589,2070,0.473809213,0.264210035,0.2096,,,-40.15%
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Northern,39.59,2080,0.513002458,0.262703815,0.2503,,,-49.27%
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Northern,38.96,2090,0.53615014,0.252327834,0.28382,,,-59.12%
